mysql> SELECT createdOn, modifiedOn, DATEDIFF(createdOn, modifiedOn) AS dateDiff, COUNT(*) FROM Account
    -> GROUP BY dateDiff;
+---------------------+---------------------+----------+----------+
| createdOn           | modifiedOn          | dateDiff | COUNT(*) |
+---------------------+---------------------+----------+----------+
| 2014-09-30 09:34:55 | 2016-09-03 09:36:23 |     -704 |        1 |
| 2014-10-15 13:24:19 | 2016-09-07 03:42:20 |     -693 |        1 |
| 2014-10-26 13:43:46 | 2016-09-17 13:44:04 |     -692 |        1 |
| 2014-10-07 19:40:12 | 2016-08-16 16:59:40 |     -679 |        1 |
| 2014-10-30 02:06:18 | 2016-08-28 06:38:40 |     -668 |        1 |
| 2014-10-17 19:05:13 | 2016-08-09 07:43:18 |     -662 |        1 |
| 2014-11-27 23:25:18 | 2016-09-17 13:40:34 |     -660 |        1 |
| 2014-09-18 12:13:43 | 2016-07-03 09:36:09 |     -654 |        1 |
| 2014-11-10 22:39:21 | 2016-07-31 01:44:16 |     -629 |        1 |
| 2014-12-18 10:26:19 | 2016-09-05 04:59:13 |     -627 |        1 |
| 2014-10-11 20:56:30 | 2016-06-28 23:50:09 |     -626 |        2 |
| 2014-10-13 23:39:57 | 2016-06-29 12:12:25 |     -625 |        1 |
| 2014-10-03 10:28:30 | 2016-06-14 02:27:26 |     -620 |        1 |
| 2014-11-19 01:11:10 | 2016-07-26 14:13:18 |     -615 |        1 |
| 2014-10-13 05:09:03 | 2016-06-18 11:04:52 |     -614 |        1 |
| 2014-10-10 14:22:50 | 2016-06-12 07:33:21 |     -611 |        1 |
| 2014-12-26 17:20:44 | 2016-08-26 23:01:30 |     -609 |        1 |
| 2014-09-22 20:32:13 | 2016-05-22 18:24:49 |     -608 |        1 |
| 2015-01-16 02:26:39 | 2016-09-10 06:30:58 |     -603 |        2 |
| 2014-11-21 16:28:17 | 2016-07-11 19:47:29 |     -598 |        2 |
| 2014-09-27 01:18:15 | 2016-05-14 14:29:07 |     -595 |        1 |
| 2014-12-16 00:45:57 | 2016-07-30 09:06:38 |     -592 |        1 |
| 2014-11-18 09:06:28 | 2016-06-29 22:49:33 |     -589 |        1 |
| 2014-12-19 03:57:02 | 2016-07-24 19:16:43 |     -583 |        1 |
| 2015-01-02 16:11:55 | 2016-08-06 10:25:38 |     -582 |        1 |
| 2014-09-21 11:49:03 | 2016-04-24 05:35:51 |     -581 |        1 |
| 2014-11-28 22:53:32 | 2016-06-29 12:44:07 |     -579 |        1 |
| 2014-12-05 17:40:44 | 2016-06-26 17:35:43 |     -569 |        1 |
| 2015-01-08 05:22:52 | 2016-07-27 11:35:04 |     -566 |        1 |
| 2014-10-07 22:57:27 | 2016-04-18 00:16:43 |     -559 |        1 |
| 2014-10-25 08:21:43 | 2016-05-05 21:34:05 |     -558 |        1 |
| 2015-03-07 20:32:51 | 2016-09-07 17:47:27 |     -550 |        1 |
| 2015-03-07 17:03:03 | 2016-09-01 22:11:42 |     -544 |        1 |
| 2015-03-23 19:06:06 | 2016-09-15 22:06:55 |     -542 |        1 |
| 2014-10-02 06:02:28 | 2016-03-26 22:33:50 |     -541 |        1 |
| 2014-12-10 03:37:39 | 2016-06-01 17:31:07 |     -539 |        1 |
| 2015-01-23 02:14:36 | 2016-07-12 16:32:22 |     -536 |        1 |
| 2014-09-27 12:40:27 | 2016-03-15 12:59:00 |     -535 |        1 |
| 2014-11-01 03:59:21 | 2016-04-16 05:44:10 |     -532 |        1 |
| 2014-10-24 12:31:06 | 2016-03-31 17:25:26 |     -524 |        1 |
| 2015-03-09 17:49:31 | 2016-08-11 23:02:40 |     -521 |        1 |
| 2014-11-18 18:39:56 | 2016-04-19 00:02:00 |     -518 |        1 |
| 2015-03-28 13:30:02 | 2016-08-26 03:28:36 |     -517 |        2 |
| 2014-10-12 08:56:59 | 2016-03-11 23:07:31 |     -516 |        1 |
| 2014-10-13 08:12:04 | 2016-03-09 17:27:04 |     -513 |        1 |
| 2015-03-03 13:11:06 | 2016-07-26 05:12:19 |     -511 |        1 |
| 2014-11-21 13:00:04 | 2016-04-07 12:22:31 |     -503 |        1 |
| 2015-03-11 21:25:30 | 2016-07-23 15:10:05 |     -500 |        1 |
| 2015-04-05 07:27:15 | 2016-08-16 07:28:26 |     -499 |        1 |
| 2014-10-31 18:36:08 | 2016-03-11 22:17:59 |     -497 |        1 |
| 2014-11-03 02:18:05 | 2016-03-11 16:59:59 |     -494 |        1 |
| 2014-09-29 12:47:43 | 2016-02-01 00:37:03 |     -490 |        1 |
| 2015-02-23 16:50:16 | 2016-06-25 07:31:57 |     -488 |        1 |
| 2015-02-03 12:18:01 | 2016-06-03 01:26:15 |     -486 |        1 |
| 2014-12-22 00:41:52 | 2016-04-19 16:34:37 |     -484 |        1 |
| 2014-12-16 19:06:46 | 2016-04-09 14:04:50 |     -480 |        1 |
| 2015-04-26 11:34:05 | 2016-08-17 17:14:32 |     -479 |        1 |
| 2014-10-07 17:51:05 | 2016-01-28 23:53:22 |     -478 |        1 |
| 2015-01-02 05:26:24 | 2016-04-23 12:36:52 |     -477 |        1 |
| 2015-05-15 07:59:53 | 2016-09-01 09:59:59 |     -475 |        2 |
| 2014-09-28 09:26:55 | 2016-01-15 04:14:54 |     -474 |        1 |
| 2015-03-03 16:28:10 | 2016-06-17 23:01:47 |     -472 |        3 |
| 2015-03-04 11:43:40 | 2016-06-17 03:48:55 |     -471 |        3 |
| 2014-11-19 14:33:41 | 2016-03-01 03:26:24 |     -468 |        1 |
| 2015-03-23 05:33:16 | 2016-06-30 00:12:22 |     -465 |        1 |
| 2015-03-16 07:47:26 | 2016-06-22 02:26:59 |     -464 |        1 |
| 2014-10-28 03:14:22 | 2016-02-02 11:49:04 |     -462 |        1 |
| 2014-09-20 15:19:58 | 2015-12-25 19:26:16 |     -461 |        1 |
| 2014-11-14 20:10:26 | 2016-02-16 08:02:17 |     -459 |        2 |
| 2015-02-17 19:48:25 | 2016-05-20 21:38:20 |     -458 |        1 |
| 2015-05-01 20:36:02 | 2016-07-26 01:55:36 |     -452 |        1 |
| 2014-11-19 20:04:03 | 2016-02-12 00:03:27 |     -450 |        1 |
| 2014-12-03 06:17:15 | 2016-02-25 13:14:37 |     -449 |        1 |
| 2014-11-14 08:58:26 | 2016-02-04 07:53:24 |     -447 |        1 |
| 2015-03-03 19:07:36 | 2016-05-22 03:51:21 |     -446 |        2 |
| 2015-05-16 23:27:24 | 2016-08-02 19:43:40 |     -444 |        2 |
| 2015-03-07 21:24:02 | 2016-05-18 02:12:42 |     -438 |        1 |
| 2015-07-03 18:49:16 | 2016-09-09 18:58:09 |     -434 |        1 |
| 2014-12-31 06:20:34 | 2016-03-05 15:22:53 |     -430 |        1 |
| 2014-12-19 01:02:56 | 2016-02-19 19:17:11 |     -427 |        1 |
| 2014-10-21 12:19:50 | 2015-12-15 05:12:58 |     -420 |        1 |
| 2015-06-30 22:01:12 | 2016-08-21 03:33:51 |     -418 |        1 |
| 2015-02-05 20:29:37 | 2016-03-26 05:10:06 |     -415 |        1 |
| 2015-06-19 20:39:00 | 2016-08-06 10:14:12 |     -414 |        1 |
