mysql> SELECT SUBSTR(content, LOCATE("@", content) + 1) AS domain, 
    -> COUNT(*) FROM ElectronicMail
    -> GROUP BY SUBSTR(ElectronicMail.content, LOCATE("@", ElectronicMail.content), LOCATE(".", ElectronicMail.content))
    -> ORDER BY COUNT(*) DESC;
+-----------------------------------+----------+
| domain                            | COUNT(*) |
+-----------------------------------+----------+
| magnaUttincidunt.edu              |        8 |
| magnaetipsum.org                  |        6 |
| vitaedolorDonec.co.uk             |        6 |
| aliquetnecimperdiet.org           |        6 |
| velitegestaslacinia.ca            |        6 |
| dolor.edu                         |        6 |
| libero.co.uk                      |        5 |
| quamafelis.co.uk                  |        5 |
| neque.org                         |        5 |
| nonlaciniaat.org                  |        5 |
| dictumplacerat.com                |        4 |
| enimdiamvel.com                   |        4 |
| enim.com                          |        4 |
| vulputate.net                     |        4 |
| arcu.edu                          |        4 |
| Nuncmauriselit.co.uk              |        4 |
| magnisdis.ca                      |        4 |
| luctus.net                        |        4 |
| sempererat.ca                     |        4 |
| elit.com                          |        4 |
| ultricesposuerecubilia.edu        |        4 |
| mauris.edu                        |        4 |
| Nullam.co.uk                      |        4 |
| necurnasuscipit.ca                |        4 |
| magna.co.uk                       |        4 |
| semutdolor.org                    |        4 |
| tinciduntpedeac.net               |        4 |
| liberoProin.co.uk                 |        4 |
| Etiamlaoreet.org                  |        4 |
| Nullamvitae.edu                   |        4 |
| eu.ca                             |        4 |
| eleifend.co.uk                    |        4 |
| ligula.ca                         |        3 |
| pedeetrisus.edu                   |        3 |
| vulputate.org                     |        3 |
| ac.com                            |        3 |
| Nunc.edu                          |        3 |
| Mauris.com                        |        3 |
| sedduiFusce.com                   |        3 |
| Curabitursed.edu                  |        3 |
| egestasAliquamfringilla.net       |        3 |
| Pellentesqueutipsum.net           |        3 |
| aliquet.net                       |        3 |
| temporarcuVestibulum.net          |        3 |
| iaculisenimsit.net                |        3 |
| Sed.net                           |        3 |
| turpisNulla.co.uk                 |        3 |
| sitametultricies.com              |        3 |
| adipiscing.co.uk                  |        3 |
| quamvelsapien.net                 |        3 |
| liberoProin.com                   |        3 |
| ac.net                            |        3 |
| Duisa.ca                          |        3 |
| Nunc.co.uk                        |        3 |
| Phasellusnulla.org                |        3 |
| eliteratvitae.com                 |        3 |
| metusIn.co.uk                     |        3 |
| Proinegetodio.edu                 |        3 |
| Craseutellus.ca                   |        3 |
| at.ca                             |        3 |
| laoreetlibero.com                 |        3 |
| tincidunt.ca                      |        3 |
| augueacipsum.edu                  |        3 |
| molestiepharetranibh.com          |        3 |
| Donecconsectetuer.com             |        3 |
| vulputateposuere.ca               |        3 |
| Sed.ca                            |        3 |
| nisimagnased.com                  |        3 |
| dolor.ca                          |        3 |
| auctorullamcorpernisl.edu         |        3 |
| sapiencursusin.co.uk              |        3 |
| eleifend.net                      |        3 |
| liberoatauctor.org                |        3 |
| sitamet.org                       |        3 |
| Quisquelibero.com                 |        3 |
| quisdiamPellentesque.co.uk        |        3 |
| Suspendissealiquet.ca             |        3 |
| augue.edu                         |        3 |
| tellus.ca                         |        3 |
| gravidanonsollicitudin.edu        |        3 |
| ridiculusmusProin.net             |        3 |
| ipsum.edu                         |        3 |
